Order ID,Order Date,Customer ID,Customer Name,City,Product,Category,Quantity,Price,Payment Method
1001,1/5/2025,C001,Rahul,Delhi,Laptop,Electronics,1,60000,UPI
1002,1/8/2025,C002,Priya,Mumbai,Mobile,Electronics,2,25000,Credit Card
1003,1/12/2025,C003,Amit,Pune,Headphones,Electronics,3,2000,UPI
1004,1/15/2025,C004,Neha,Bangalore,Shoes,Fashion,2,3000,Cash
1005,1/20/2025,C005,Rohan,Delhi,Watch,Fashion,1,5000,Credit Card
1006,2/3/2025,C006,Anjali,Chennai,Laptop,Electronics,1,60000,UPI
1007,2/7/2025,C007,Vikas,Hyderabad,Mobile,Electronics,1,25000,Cash
1008,2/12/2025,C008,Pooja,Mumbai,Shoes,Fashion,3,3000,UPI
1009,2/18/2025,C009,Karan,Pune,Watch,Fashion,2,5000,Credit Card
1010,2/25/2025,C010,Simran,Delhi,Headphones,Electronics,4,2000,UPI
1011,3/2/2025,C001,Rahul,Delhi,Mobile,Electronics,1,25000,Credit Card
1012,3/6/2025,C002,Priya,Mumbai,Laptop,Electronics,1,60000,UPI
1013,3/10/2025,C003,Amit,Pune,Shoes,Fashion,2,3000,Cash
1014,3/15/2025,C004,Neha,Bangalore,Watch,Fashion,1,5000,UPI
1015,3/22/2025,C005,Rohan,Delhi,Headphones,Electronics,2,2000,Credit Card
1016,4/4/2025,C006,Anjali,Chennai,Mobile,Electronics,2,25000,UPI
1017,4/9/2025,C007,Vikas,Hyderabad,Laptop,Electronics,1,60000,Credit Card
1018,4/14/2025,C008,Pooja,Mumbai,Watch,Fashion,2,5000,UPI
1019,4/20/2025,C009,Karan,Pune,Shoes,Fashion,1,3000,Cash
1020,4/28/2025,C010,Simran,Delhi,Mobile,Electronics,1,25000,UPI
1021,5/3/2025,C001,Rahul,Delhi,Laptop,Electronics,1,60000,Credit Card
1022,5/8/2025,C002,Priya,Mumbai,Headphones,Electronics,3,2000,UPI
1023,5/13/2025,C003,Amit,Pune,Watch,Fashion,2,5000,Cash
1024,5/18/2025,C004,Neha,Bangalore,Shoes,Fashion,2,3000,UPI
1025,5/25/2025,C005,Rohan,Delhi,Mobile,Electronics,1,25000,Credit Card
1026,6/2/2025,C006,Anjali,Chennai,Laptop,Electronics,1,60000,UPI
1027,6/7/2025,C007,Vikas,Hyderabad,Mobile,Electronics,2,25000,Credit Card
1028,6/12/2025,C008,Pooja,Mumbai,Shoes,Fashion,3,3000,Cash
1029,6/19/2025,C009,Karan,Pune,Watch,Fashion,1,5000,UPI
1030,6/27/2025,C010,Simran,Delhi,Headphones,Electronics,2,2000,Credit Card
1021,5/3/2025,C001,Rahul,Delhi,Laptop,Electronics,1,60000,Credit Card
1032,7/5/2025,C002,Priya,Mumbai,Mobile,Electronics,1,25000,UPI
1033,7/11/2025,C003,Amit,Pune,Headphones,Electronics,2,2000,Cash
1034,7/16/2025,C004,Neha,Bangalore,Shoes,Fashion,3,3000,UPI
1035,7/22/2025,C005,Rohan,Delhi,Watch,Fashion,1,5000,Credit Card
1036,8/3/2025,C006,Anjali,Chennai,Laptop,Electronics,1,60000,UPI
1037,8/9/2025,C007,Vikas,Hyderabad,Mobile,Electronics,2,25000,Cash
1038,8/15/2025,C008,Pooja,Mumbai,Shoes,Fashion,2,3000,UPI
1039,8/21/2025,C009,Karan,Pune,Watch,Fashion,1,5000,Credit Card
1040,8/27/2025,C010,Simran,Delhi,Headphones,Electronics,3,2000,UPI
